num_trials,trial,num_factors,num_voters,pr_abstain,group_decision_method,avg_distance
10,0,8,5,0.0,majority decision,516.4
10,1,8,5,0.0,majority decision,552.2
10,2,8,5,0.0,majority decision,490.4
10,3,8,5,0.0,majority decision,502.0
10,4,8,5,0.0,majority decision,500.0
10,5,8,5,0.0,majority decision,499.0
10,6,8,5,0.0,majority decision,468.8
10,7,8,5,0.0,majority decision,489.8
10,8,8,5,0.0,majority decision,484.0
10,9,8,5,0.0,majority decision,473.8
10,0,8,5,0.0,majority decision,488.0
10,1,8,5,0.0,majority decision,483.2
10,2,8,5,0.0,majority decision,481.2
10,3,8,5,0.0,majority decision,490.0
10,4,8,5,0.0,majority decision,480.2
10,5,8,5,0.0,majority decision,480.6
10,6,8,5,0.0,majority decision,516.0
10,7,8,5,0.0,majority decision,512.6
10,8,8,5,0.0,majority decision,496.8
10,9,8,5,0.0,majority decision,504.8
10,0,8,5,0.0,majority decision,497.8
10,1,8,5,0.0,majority decision,486.6
10,2,8,5,0.0,majority decision,507.8
10,3,8,5,0.0,majority decision,510.2
10,4,8,5,0.0,majority decision,493.4
10,5,8,5,0.0,majority decision,482.0
10,6,8,5,0.0,majority decision,519.8
10,7,8,5,0.0,majority decision,485.4
10,8,8,5,0.0,majority decision,497.2
10,9,8,5,0.0,majority decision,535.6
10,0,8,5,0.0,majority decision,457.8
10,1,8,5,0.0,majority decision,466.8
10,2,8,5,0.0,majority decision,467.4
10,3,8,5,0.0,majority decision,442.2
10,4,8,5,0.0,majority decision,471.6
10,5,8,5,0.0,majority decision,479.8
10,6,8,5,0.0,majority decision,446.4
10,7,8,5,0.0,majority decision,477.0
10,8,8,5,0.0,majority decision,467.6
10,9,8,5,0.0,majority decision,477.2
10,0,8,5,0.0,majority decision,524.8
10,1,8,5,0.0,majority decision,461.0
10,2,8,5,0.0,majority decision,455.6
10,3,8,5,0.0,majority decision,483.8
10,4,8,5,0.0,majority decision,481.2
10,5,8,5,0.0,majority decision,507.8
10,6,8,5,0.0,majority decision,503.0
10,7,8,5,0.0,majority decision,456.0
10,8,8,5,0.0,majority decision,481.0
10,9,8,5,0.0,majority decision,483.4
10,0,8,5,0.0,majority decision,478.8
10,1,8,5,0.0,majority decision,505.0
10,2,8,5,0.0,majority decision,500.2
10,3,8,5,0.0,majority decision,451.2
10,4,8,5,0.0,majority decision,513.4
10,5,8,5,0.0,majority decision,518.6
10,6,8,5,0.0,majority decision,470.2
10,7,8,5,0.0,majority decision,504.4
10,8,8,5,0.0,majority decision,481.8
10,9,8,5,0.0,majority decision,478.0
10,0,8,5,0.0,majority decision,481.8
10,1,8,5,0.0,majority decision,462.2
10,2,8,5,0.0,majority decision,478.4
10,3,8,5,0.0,majority decision,502.4
10,4,8,5,0.0,majority decision,460.4
10,5,8,5,0.0,majority decision,455.4
10,6,8,5,0.0,majority decision,489.2
10,7,8,5,0.0,majority decision,451.6
10,8,8,5,0.0,majority decision,519.8
10,9,8,5,0.0,majority decision,476.6
10,0,8,5,0.0,majority decision,484.8
10,1,8,5,0.0,majority decision,553.6
10,2,8,5,0.0,majority decision,477.2
10,3,8,5,0.0,majority decision,475.6
10,4,8,5,0.0,majority decision,511.6
10,5,8,5,0.0,majority decision,539.2
10,6,8,5,0.0,majority decision,515.8
10,7,8,5,0.0,majority decision,505.4
10,8,8,5,0.0,majority decision,509.8
10,9,8,5,0.0,majority decision,540.4
10,0,8,5,0.0,majority decision,457.6
10,1,8,5,0.0,majority decision,508.2
10,2,8,5,0.0,majority decision,510.6
10,3,8,5,0.0,majority decision,524.4
10,4,8,5,0.0,majority decision,476.6
10,5,8,5,0.0,majority decision,474.4
10,6,8,5,0.0,majority decision,491.8
10,7,8,5,0.0,majority decision,536.6
10,8,8,5,0.0,majority decision,508.8
10,9,8,5,0.0,majority decision,465.2
