num_trials,trial,num_factors,num_voters,pr_abstain,group_decision_method,avg_distance
10,0,8,5,0.0,random dictatorship,87.8
10,1,8,5,0.0,random dictatorship,99.6
10,2,8,5,0.0,random dictatorship,90.0
10,3,8,5,0.0,random dictatorship,98.2
10,4,8,5,0.0,random dictatorship,81.0
10,5,8,5,0.0,random dictatorship,95.8
10,6,8,5,0.0,random dictatorship,85.6
10,7,8,5,0.0,random dictatorship,98.6
10,8,8,5,0.0,random dictatorship,90.0
10,9,8,5,0.0,random dictatorship,96.6
10,0,8,5,0.0,random dictatorship,106.2
10,1,8,5,0.0,random dictatorship,103.4
10,2,8,5,0.0,random dictatorship,95.6
10,3,8,5,0.0,random dictatorship,97.4
10,4,8,5,0.0,random dictatorship,85.0
10,5,8,5,0.0,random dictatorship,92.8
10,6,8,5,0.0,random dictatorship,101.6
10,7,8,5,0.0,random dictatorship,97.4
10,8,8,5,0.0,random dictatorship,95.8
10,9,8,5,0.0,random dictatorship,98.0
10,0,8,5,0.0,random dictatorship,94.6
10,1,8,5,0.0,random dictatorship,105.8
10,2,8,5,0.0,random dictatorship,98.6
10,3,8,5,0.0,random dictatorship,102.8
10,4,8,5,0.0,random dictatorship,103.0
10,5,8,5,0.0,random dictatorship,107.4
10,6,8,5,0.0,random dictatorship,109.0
10,7,8,5,0.0,random dictatorship,100.8
10,8,8,5,0.0,random dictatorship,101.2
10,9,8,5,0.0,random dictatorship,101.2
10,0,8,5,0.0,random dictatorship,88.0
10,1,8,5,0.0,random dictatorship,101.2
10,2,8,5,0.0,random dictatorship,101.0
10,3,8,5,0.0,random dictatorship,105.6
10,4,8,5,0.0,random dictatorship,92.6
10,5,8,5,0.0,random dictatorship,106.6
10,6,8,5,0.0,random dictatorship,99.8
10,7,8,5,0.0,random dictatorship,115.2
10,8,8,5,0.0,random dictatorship,94.2
10,9,8,5,0.0,random dictatorship,87.6
10,0,8,5,0.0,random dictatorship,91.6
10,1,8,5,0.0,random dictatorship,118.4
10,2,8,5,0.0,random dictatorship,84.4
10,3,8,5,0.0,random dictatorship,101.8
10,4,8,5,0.0,random dictatorship,92.2
10,5,8,5,0.0,random dictatorship,85.0
10,6,8,5,0.0,random dictatorship,107.0
10,7,8,5,0.0,random dictatorship,90.8
10,8,8,5,0.0,random dictatorship,98.0
10,9,8,5,0.0,random dictatorship,97.6
10,0,8,5,0.0,random dictatorship,97.8
10,1,8,5,0.0,random dictatorship,108.6
10,2,8,5,0.0,random dictatorship,92.2
10,3,8,5,0.0,random dictatorship,121.8
10,4,8,5,0.0,random dictatorship,113.4
10,5,8,5,0.0,random dictatorship,91.2
10,6,8,5,0.0,random dictatorship,103.2
10,7,8,5,0.0,random dictatorship,108.0
10,8,8,5,0.0,random dictatorship,107.8
10,9,8,5,0.0,random dictatorship,114.0
10,0,8,5,0.0,random dictatorship,105.2
10,1,8,5,0.0,random dictatorship,100.4
10,2,8,5,0.0,random dictatorship,105.6
10,3,8,5,0.0,random dictatorship,92.8
10,4,8,5,0.0,random dictatorship,83.6
10,5,8,5,0.0,random dictatorship,91.0
10,6,8,5,0.0,random dictatorship,100.2
10,7,8,5,0.0,random dictatorship,102.4
10,8,8,5,0.0,random dictatorship,96.0
10,9,8,5,0.0,random dictatorship,87.6
10,0,8,5,0.0,random dictatorship,108.6
10,1,8,5,0.0,random dictatorship,104.6
10,2,8,5,0.0,random dictatorship,101.4
10,3,8,5,0.0,random dictatorship,90.0
10,4,8,5,0.0,random dictatorship,105.0
10,5,8,5,0.0,random dictatorship,90.2
10,6,8,5,0.0,random dictatorship,109.2
10,7,8,5,0.0,random dictatorship,92.0
10,8,8,5,0.0,random dictatorship,140.4
10,9,8,5,0.0,random dictatorship,96.0
10,0,8,5,0.0,random dictatorship,95.8
10,1,8,5,0.0,random dictatorship,96.0
10,2,8,5,0.0,random dictatorship,95.4
10,3,8,5,0.0,random dictatorship,99.4
10,4,8,5,0.0,random dictatorship,88.6
10,5,8,5,0.0,random dictatorship,87.0
10,6,8,5,0.0,random dictatorship,81.2
10,7,8,5,0.0,random dictatorship,99.4
10,8,8,5,0.0,random dictatorship,93.0
10,9,8,5,0.0,random dictatorship,93.6
10,0,8,5,0.0,random dictatorship,92.2
10,1,8,5,0.0,random dictatorship,108.2
10,2,8,5,0.0,random dictatorship,103.8
10,3,8,5,0.0,random dictatorship,87.6
10,4,8,5,0.0,random dictatorship,100.6
10,5,8,5,0.0,random dictatorship,99.4
10,6,8,5,0.0,random dictatorship,95.4
10,7,8,5,0.0,random dictatorship,88.6
10,8,8,5,0.0,random dictatorship,98.4
10,9,8,5,0.0,random dictatorship,83.6
